TimeOutRank,City,State,Country,CityURL
1,New York,NY,USA,New+York%2c+NY%2c+USA
2,Melbourne,Victoria,Australia,Melbourne%2c+Victoria%2c+Australia
3,Chicago,IL,USA,Chicago%2c+IL%2c+USA
4,London,,England,London%2c+England
5,Los Angeles,CA,USA,Los+Angeles%2c+CA%2c+USA
6,Montreal,Quebec,Canada,Montreal%2c+Quebec%2c+Canada
7,Berlin,,Germany,Berlin%2c+Germany
8,Glasgow,,Scotland,Glasgow%2c+Scotland
9,Paris,,France,Paris%2c+France
10,Tokyo,,Japan,Tokyo%2c+Japan
11,Madrid,,Spain,Madrid%2c+Spain
12,Cape Town,,South Africa,Cape+Town%2c+South+Africa
13,Las Vegas,NV,USA,Las+Vegas%2c+NV%2c+USA
14,Mexico City,,Mexico,Mexico+City%2c+Mexico
15,Manchester,,England,Manchester%2c+England
16,Philadelphia,PA,USA,Philadelphia%2c+PA%2c+USA
17,Barcelona,,Spain,Barcelona%2c+Spain
18,Buenos Aires,,Argentina,Buenos+Aires%2c+Argentina
19,Lisbon,,Portugal,Lisbon%2c+Portugal
20,Washington,DC,USA,Washington%2c+DC%2c+USA
21,Tel Aviv,,Israel,Tel+Aviv%2c+Israel
22,Mumbai,,India,Mumbai%2c+India
23,Toronto,Ontario,Canada,Toronto%2c+Ontario%2c+Canada
24,Birmingham,,England,Birmingham%2c+England
25,Dublin,,Ireland,Dublin%2c+Ireland
26,S?o Paulo,,Brazil,S?o+Paulo%2c+Brazil
27,Miami,FL,USA,Miami%2c+FL%2c+USA
28,Porto,,Portugal,Porto%2c+Portugal
29,Singapore,,Singapore,Singapore%2c+Singapore
30,Edinburgh,,Scotland,Edinburgh%2c+Scotland
31,San Francisco,CA,USA,San+Francisco%2c+CA%2c+USA
32,Dubai,,UAE,Dubai%2c+UAE
33,Munich,,Germany,Munich%2c+Germany
34,Vienna,,Austria,Vienna%2c+Austria
35,Shanghai,,China,Shanghai%2c+China
36,Moscow,,Russia,Moscow%2c+Russia
37,Delhi,,India,Delhi%2c+India
38,Seattle,WA,USA,Seattle%2c+WA%2c+USA
39,Sydney,NSW,Australia,Sydney%2c+NSW%2c+Australia
40,Abu Dhabi,,UAE,Abu+Dhabi%2c+UAE
41,Hong Kong,,China,Hong+Kong%2c+China
42,Boston,MA,USA,Boston%2c+MA%2c+USA
43,Rio de Janeiro,,Brazil,Rio+de+Janeiro%2c+Brazil
44,Marseille,,France,Marseille%2c+France
45,Bangkok,,Thailand,Bangkok%2c+Thailand
46,Kuala Lumpur,,Malaysia,Kuala+Lumpur%2c+Malaysia
47,Beijing,,China,Beijing%2c+China
48,Istanbul,,Turkey,Istanbul%2c+Turkey
